time_x,x,y,z,roll,pitch,yaw,xdot,ydot,zdot,p,q,r,Gap,time_u,thrust,roll angle,pitch angle,yaw angle
143.1,1.666502809,1.508506928,-3.743019508,-0.07677688,0.049370747,0.068705636,-2.473769733,1.318053893,-1.297705628,-0.135089459,-0.044741099,0.14957722,,143.1,5.389049139,8.51555E-06,-0.000195896,-0.001639784
143.2,1.515481501,1.572944845,-3.795989542,-0.06478923,0.072606086,0.108368085,-2.419211147,1.276272972,-1.156113362,-0.077756034,-0.023358359,0.118681267,,143.2,5.340951173,-0.001569203,-0.000309168,0.002760828
143.3,1.347346404,1.609958598,-3.84749886,-0.07653464,0.049189148,0.074530376,-2.576557796,1.175903238,-1.224466675,-0.172605542,-0.050663452,0.19284285,,143.3,5.468518517,0.000832822,-0.000229142,-0.003570446
143.4,1.148435101,1.688780944,-3.9108309,-0.094579494,0.067107419,0.143699353,-2.532968835,1.116113656,-0.989258532,-0.048159971,-0.031630526,0.076156563,,143.4,5.373635429,-0.001405024,-0.000618001,0.002204384
143.5,1.033532992,1.771748408,-3.853994834,-0.019177111,0.099200612,0.131526419,-2.553028592,1.01792556,-1.012460666,-0.12045086,-0.015778084,0.226802825,,143.5,5.385508895,-0.001779338,-0.000143043,0.00311981
143.6,0.781362592,1.725836119,-3.986072458,-0.120284782,0.040103604,0.141677116,-2.841144252,1.028338805,-1.117640139,-0.197565176,-0.061141038,0.198987631,,143.6,5.633841162,0.002495374,-0.000376119,-0.006721934
143.7,0.469108525,1.811250339,-4.094852485,-0.174190377,0.016540267,0.130840661,-2.747596372,0.651239168,-0.671684331,-0.022081392,-0.084179785,-0.030970328,,143.7,5.421344894,0.000791503,3.32901E-05,-0.001160492
143.8,0.354572614,1.703547728,-3.963346192,-0.094957256,0.003186974,0.045991374,-2.657127086,0.397246496,-0.775246536,-0.081050227,-0.045910965,0.09172988,,143.8,5.419999569,0.00057594,-0.000368997,-0.00285588
143.9,0.218965161,1.627464741,-4.056039254,-0.120708081,0.015898033,0.102286867,-2.666141901,0.476646837,-0.781881766,-0.086782938,-0.067371922,0.050371825,,143.9,5.537976088,0.001257824,-0.0001824,-0.002888418
144,0.086907609,1.765773581,-4.060648691,-0.083831895,0.04877464,0.133427703,-2.606051567,0.362253733,-0.562780227,-0.01658161,-0.022855047,0.081419278,,144,5.405475082,-0.001283921,-0.001232835,0.000940093
144.1,-0.085203171,1.721656072,-4.019277124,-0.071710144,0.048443108,0.136211699,-2.72937811,0.326206344,-0.72297989,-0.139065596,-0.080397629,0.151134064,,144.1,5.567828424,0.001163855,-0.000398804,-0.003916659
144.2,-0.311677191,1.753524563,-4.111795821,-0.120756439,0.032355082,0.180415857,-2.763746458,0.27129955,-0.498422367,-0.026383299,-0.051330111,0.047685774,,144.2,5.521561351,0.000144192,-0.000922511,-0.001712478
144.3,-0.522573221,1.741879777,-4.06635916,-0.091672586,0.025997835,0.129542231,-2.742936531,0.030997956,-0.453297988,-0.080103728,-0.07926633,0.079538984,,144.3,5.514912913,0.001022592,-0.000385943,-0.002941977
